mt20Id,url,title,genre_hint,genre_norm,is_musical,공연기간,공연장소,공연시간,관람연령,티켓가격,출연진,창작자,제작진,주최·주관,기획·제작,최종수정
PF113665,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113665,베르테르,뮤지컬,뮤지컬,True,2013.12.03(화) ~ 2014.01.12(일),예술의전당 [서울] CJ 토월극장,"화요일(20:00) / 수요일(15:00,20:00) / 목요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30)",만 7세이상,"R석 110,000원 / S석 90,000원 / A석 60,000원","임태경, 엄기준, 전미도, 이지혜, 이상현, 양준모, 최나래, 이승재, 최성원, 김경하 등",,"고선웅, 정민선, 김병석, 심상태, 조광화, 구소영, 이지원, 노지현, 정승호, 정태진 등",해당정보 없음,(주)CJ ENM(제작),2015.07.06
PF113679,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113679,또봇: 아빠의 노래,뮤지컬,뮤지컬,True,2014.01.11(토) ~ 2014.03.02(일),국립중앙박물관 극장 용,"화요일 ~ 금요일(11:00,14:30) / 토요일(11:00,14:30,17:00) / 일요일(11:00,14:30)",24개월이상,"VIP석 55,000원 / R석 44,000원 / S석 33,000원","송욱경, 서주성",,해당정보 없음,해당정보 없음,(주)힘컨텐츠(제작),2015.07.23
PF113713,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113713,구름빵,뮤지컬,뮤지컬,True,2014.01.10(금) ~ 2017.05.31(수),국립극장 해오름극장,"화요일 ~ 금요일(11:00,14:00) / 토요일 ~ 일요일(11:00,14:00,16:30)",24개월 이상,"VIP석 55,000원 / R석 50,000원 / S석 40,000원 / A석 30,000원","이윤희, 이석우 등",,(주)구름빵,해당정보 없음,(재)국립극장진흥재단(제작),2020.06.02
PF113844,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113844,소서노,뮤지컬,뮤지컬,True,2014.03.24(월) ~ 2014.03.29(토),예술의전당 [서울] 오페라극장,월요일 ~ 금요일(20:00) / 토요일(15:00) / 일요일(19:00),만 7세이상,"R석 80,000원 / S석 60,000원 / A석 40,000원 / B석 20,000원","조정은, 박영수, 김혜원, 김도빈, 이시후, 박석용",,"정혜진, 이희준, 이곤, 김길려, 이성구, 이태섭, 김혜림, 민천홍, 박은혜, 정재진, 나한수 등",해당정보 없음,(재)서울예술단(제작),2015.07.06
PF113886,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113886,백설공주를 사랑한 난장이,뮤지컬,뮤지컬,True,2014.01.24(금) ~ 2014.02.19(수),아르코예술극장 대극장,"화요일(15:00) / 수요일(15:00,20:00) / 목요일(15:00) / 금요일(20:00) / 토요일(15:00,18:00) / 일요일(14:00,17:00)",만 7세 이상,"R석 50,000원 / S석 35,000원 / A석 25,000원","최보영, 윤석현, 이나영, 나유진, 오정훈, 윤나리, 강연정, 이경진, 이예린, 정휘",,해당정보 없음,해당정보 없음,(주)쇼플레이(제작),2015.07.06
PF113891,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113891,카르멘,뮤지컬,뮤지컬,True,2013.12.06(금) ~ 2014.02.23(일),구. LG아트센터,"월요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30) / * 1월 30일 2시, 6시30분 공연 / 1월 31일 6시30분 공연 / 2월 1일 2시, 6시 30분",만 7세이상,"VIP석 130,000원 / R석 110,000원 / S석 80,000원 / A석 60,000원","차지연, 류정한, 신성록, 임혜영, 이정화, 최수형, 이정열 등",,"프랭크 와일드혼, 잭 머피, 노먼 알렌",클립서비스(주관),(주)뮤지컬해븐(제작) / 오넬컴퍼니(제작),2020.08.24
PF113980,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF113980,식구를 찾아서,뮤지컬,뮤지컬,True,2014.01.15(수) ~ 2014.02.02(일),대학로예술극장 대극장,"화요일 ~ 목요일(20:00) / 금요일(15:00,20:00) / 토요일(15:00,18:00) / 일요일(15:00)",만 9세이상,"R석 50,000원 / S석 30,000원 / A석 10,000원","주은, 유정민, 백현주, 김현정, 이상은, 이성욱, 김태경",,해당정보 없음,해당정보 없음,MJ플래닛(엠제이플래닛)(제작),2015.07.06
PF114008,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114008,영웅,뮤지컬,뮤지컬,True,2014.01.07(화) ~ 2014.02.16(일),예술의전당 [서울] 오페라극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세이상,"영웅석(1,2층) 70,000원 / 동지석(3층) 50,000원 / 독립군석(4층) 30,000원","JK김동욱, 강태을, 김승대, 김도형, 이희정, 오진영, 이해리 등",,해당정보 없음,해당정보 없음,(주) 에이콤(ACOM)(제작) / 예술의전당(제작),2015.07.06
PF114098,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114098,해를 품은 달,뮤지컬,뮤지컬,True,2014.01.18(토) ~ 2014.02.23(일),예술의전당 [서울] CJ 토월극장,"월요일 ~ 화요일(20:00) / 수요일(15:00,20:00) / 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세이상,"R석 110,000원 / S석 90,000원 / A석 60,000원","김다현, 전동석, 규현, 린아, 정재은, 서현, 강필석, 조휘, 최현선, 박시현, 서형훈 등",,해당정보 없음,해당정보 없음,(주)CJ ENM(제작) / (주)쇼플레이(제작),2015.07.06
PF114175,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114175,보이첵,뮤지컬,뮤지컬,True,2014.10.09(목) ~ 2014.11.08(토),구. LG아트센터,"화요일 ~ 금요일(20:00) / 토요일 ~ 일요일(15:00,19:00) / * 10.9(목) 7pm 공연",만 15세 이상,"R석 80,000원 / S석 60,000원 / A석 40,000원","김다현, 김수용, 김소향, 김법래, 정의욱, 박성환, 박송권 등",,"윤호진, 장소영, 이란영 등",(주) 에이콤(ACOM)(주최) / LG아트센터(주최),(주) 에이콤(ACOM)(제작) / LG아트센터(제작),2020.08.24
PF114212,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114212,호두까기 인형 [용산],뮤지컬,뮤지컬,True,2013.11.16(토) ~ 2014.01.05(일),국립중앙박물관 극장 용,"화요일 ~ 금요일(11:00,13:30) / 토요일(11:00,13:30,16:00) / 일요일(11:00,13:30)",24개월 이상,"VIP석 50,000원 / S석 40,000원 / A석 30,000원",해당정보 없음,,해당정보 없음,해당정보 없음,(주)피엠씨프러덕션(PMC Production)(제작),2019.10.10
PF114266,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114266,태백산맥,뮤지컬,뮤지컬,True,2014.03.06(목) ~ 2014.03.08(토),국립극장 해오름극장,목요일 ~ 금요일(19:30) / 토요일(16:00),만 14세이상,"R석 50,000원 / S석 40,000원 / A석 30,000원","채민석, 이병권, 변민지, 윤희철, 정윤희, 차유경, 박효선, 주수영, 변정안, 박선영, 황의경 등",,"조정래, 위성신, 장경섭, 박소연, 서정선, 김지명, 이윤수, 공흥표 등",해당정보 없음,순천시립예술단(제작),2015.07.06
PF114357,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114357,해바라기,뮤지컬,뮤지컬,True,2014.01.07(화) ~ 2014.01.26(일),국립극장 별오름극장,"화요일 ~ 금요일(19:30) / 토요일(16:00,19:30) / 일요일(16:00)",만 7세이상,"전석 30,000원","박두수, 이재근, 김선율",,"임정빈, 신민, 임민, 최은정",해당정보 없음,달나무(제작),2015.07.06
PF114934,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114934,"제10회 서울 아시테지 겨울축제, 청소부 토끼",뮤지컬,뮤지컬,True,2014.01.09(목) ~ 2014.01.11(토),아르코예술극장 소극장,"목요일 ~ 금요일(13:00,15:00) / 토요일(13:00)",48개월 이상,"균일석 20,000원","박영희, 이수민, 조아라, 이중희, 심상학",,해당정보 없음,해당정보 없음,이야기꾼의 책공연(제작),2022.11.03
PF114946,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF114946,"제10회 서울 아시테지 겨울축제, 목 짧은 기린 지피",뮤지컬,뮤지컬,True,2014.01.03(금) ~ 2014.01.04(토),대학로예술극장 대극장,"금요일 ~ 토요일(11:00,14:00)",36개월 이상,"1층석 20,000원 / 2층석 15,000원","조영환, 임기영, 정승우, 이은아, 가람이, 홍지원, 김은지",,"고정욱, 문경수, 장지영, 지영",해당정보 없음,(사)국제아동청소년연극협회 한국본부(아시테지)(제작),2018.08.09
PF115661,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF115661,레미제라블,뮤지컬,뮤지컬,True,2014.04.18(금) ~ 2014.05.21(수),국립중앙박물관 극장 용,"수요일 ~ 금요일(20:00) / 토요일(15:00,19:00)",만 6세이상,"VIP석 50,000원 / R석 40,000원 / S석 30,000원","권한준, 김호섭, 정찬우, 장대성, 김재만, 장지용, 김도연, 김민경, 강지안, 조수빈, 국중웅 등",,"김재한, 태양섭, 송현지, 황태승, 김상준, 김민규, 이상근, 박미리, 이종행, 이혜정 등",해당정보 없음,(재)국립박물관문화재단(제작) / N.A 뮤지컬컴퍼니(제작),2015.07.06
PF116117,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116117,Why? 마법사와 쫓겨난 임금,뮤지컬,뮤지컬,True,2014.07.04(금) ~ 2014.08.24(일),국립중앙박물관 극장 용,"화요일 ~ 금요일(11:00,14:00) / 토요일 ~ 일요일(11:00,14:00,16:30)",36개월 이상,"임금님석 50,000원 / 마법사석 40,000원 / 구름석 30,000원 / 휠체어석 20,000원","김초록, 송주하, 최원식, 민선아, 이서영, 이대관, 이윤희 등",,해당정보 없음,해당정보 없음,(재)국립박물관문화재단(제작),2020.06.03
PF116124,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116124,바람의 나라: 무휼,뮤지컬,뮤지컬,True,2014.05.11(일) ~ 2014.05.20(화),예술의전당 [서울] CJ 토월극장,"월요일 ~ 금요일(20:00) / 토요일 ~ 일요일(15:00,19:00)",만 7세 이상,"R석 80,000원 / S석 60,000원 / A석 40,000원","고영빈, 지오, 최정수, 이시후, 박영수, 조풍래, 고미경 등",,"정혜진, 김진, 이지나 등",해당정보 없음,(재)서울예술단(제작),2020.06.02
PF116383,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116383,드라큘라,뮤지컬,뮤지컬,True,2014.07.15(화) ~ 2014.09.05(금),예술의전당 [서울] 오페라극장,"화요일 ~ 금요일(20:00) / 토요일 ~ 일요일(14:00,19:00)",만 7세 이상,"R석 140,000원 / S석 120,000원 / A석 80,000원 / B석 50,000원","류정한, 김준수, 박은석, 조정은, 정선아, 양준모, 카이 등",,"신춘수, 프랭크 와일드혼, 돈블랙 등",해당정보 없음,(주)오디컴퍼니(ODCOMPANY)(제작),2020.06.03
PF116389,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116389,프랭키와 친구들 [중구],뮤지컬,뮤지컬,True,2014.05.27(화) ~ 2014.08.24(일),국립정동극장,"화요일 ~ 금요일(11:00,13:00) / 토요일 ~ 일요일(11:00,13:00)",24개월 이상,해당정보 없음,해당정보 없음,,"박툴, 고순덕, 문수호, 유열컴퍼니",해당정보 없음,(재)국립정동극장(제작) / (주)유열컴퍼니(제작),2015.07.06
PF116408,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116408,두 도시 이야기,뮤지컬,뮤지컬,True,2014.06.25(수) ~ 2014.08.03(일),국립극장 해오름극장,"화요일(20:00) / 수요일(15:00,20:00) / 목요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30)",만 7세 이상,"VIP석 130,000원 / R석 110,000원 / S석 80,000원 / A석 50,000원 / B석 20,000원","서범석, 이건명, 한지상, 정동하, 박성환, 김아선, 최현주 등",,"최용석, 왕용범, 강수진 등",해당정보 없음,(재)국립극장진흥재단(제작) / 비오엠 코리아(BOMKorea)(제작),2020.06.03
PF116435,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF116435,프리실라,뮤지컬,뮤지컬,True,2014.07.03(목) ~ 2014.09.28(일),구. LG아트센터,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30)",만 13세 이상,"VIP석 130,000원 / R석 110,000원 / S석 80,000원 / A석 50,000원","조성하, 고영빈, 김다현, 마이클리, 이지훈, 이주광, 조권 등",,해당정보 없음,설앤컴퍼니(주최) / 클립서비스(주관),설앤컴퍼니(제작),2023.02.20
PF117030,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF117030,브로드웨이 42번가,뮤지컬,뮤지컬,True,2014.07.08(화) ~ 2014.08.31(일),예술의전당 [서울] CJ 토월극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(15:00) / 화요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(15:00)",만 7세 이상,"R석 120,000원 / S석 90,000원 / A석 60,000원 / OP석 110,000원 / R석 120,000원 / S석 90,000원 / A석 60,000원 / OP석 110,000원","남경주, 김영호, 박해미, 홍지민, 최우리, 전예지, 전재홍 등",,해당정보 없음,해당정보 없음,(주)CJ ENM(제작),2020.06.03
PF119259,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF119259,뿌리 깊은 나무,뮤지컬,뮤지컬,True,2014.10.09(목) ~ 2014.10.18(토),국립중앙박물관 극장 용,"화요일 ~ 금요일(20:00) / 토요일 ~ 일요일(15:00,19:00)",만 7세 이상,"R석 80,000원 / S석 60,000원 / A석 40,000원","서범석, 임철수, 김도빈, 최정수, 박영수, 이시후, 김백현 등",,"정혜진, 오경택, 한아름 등",해당정보 없음,(재)서울예술단(제작),2020.06.05
PF119297,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF119297,원스,뮤지컬,뮤지컬,True,2014.12.03(수) ~ 2015.03.29(일),예술의전당 [서울] CJ 토월극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30)",만 7세 이상,"R석 120,000원 / OP석 120,000원 / S석 100,000원 / A석 60,000원","윤도현, 이창희, 전미도, 박지연, 강윤석, 강수정, 임진웅 등",,"정명주, 고선웅, 김태훈 등",해당정보 없음,(주)신시컴퍼니(제작),2020.06.08
PF120031,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF120031,라카지,뮤지컬,뮤지컬,True,2014.12.09(화) ~ 2015.03.08(일),구. LG아트센터,"화요일(20:00) / 수요일(15:00) / 토요일(15:00,19:30) / 일요일(14:00,18:30) / 목요일 ~ 금요일(20:00) / 공휴일(14:00,18:30)",만 7세 이상,"VIP석 130,000원 / R석 110,000원 / S석 80,000원 / A석 60,000원","정성화, 김다현, 이지훈, 남경주, 고영빈, 송승환, 김태한 등",,"송승환, 이광호, 김병석 등",SBS(주최),(주)CJ ENM(제작) / (주)레드앤블루(구. 악어컴퍼니)(제작) / (주)피엠씨프러덕션(PMC Production)(제작),2020.08.24
PF120939,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF120939,바람과 함께 사라지다,뮤지컬,뮤지컬,True,2015.01.08(목) ~ 2015.02.15(일),예술의전당 [서울] 오페라극장,"화요일(20:00) / 수요일(15:00,20:00) / 목요일 ~ 금요일(20:00) / 토요일 ~ 일요일(14:00,19:00)",만 7세 이상,"R석 140,000원 / OP석 120,000원 / S석 120,000원 / A석 80,000원 / B석 50,000원","김법래, 주진모, 임태경, 바다, 서현, 함연지, 마이클리 등",,"박영석, 설도윤, 유희성 등",해당정보 없음,(주)쇼미디어그룹(제작),2020.06.09
PF121526,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121526,파리넬리,뮤지컬,뮤지컬,True,2015.01.17(토) ~ 2015.01.25(일),아르코예술극장 대극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 13세 이상,"R석 77,000원 / S석 55,000원 / A석 33,000원","고유진, 루이스초이, 안유진, 이준혁, 김호섭, 원종환",,"김선미, 김은영, 오소린 등",해당정보 없음,(주)에이치제이컬쳐(HJ컬쳐)(제작),2020.06.09
PF121558,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121558,곤 더 버스커 [대학로],뮤지컬,뮤지컬,True,2015.01.03(토) ~ 2015.01.11(일),아르코예술극장 대극장,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세 이상,"R석 50,000원 / S석 30,000원","김신의, 허규, 김보강, 김효정, 데빈, 정운, 윤성원 등",,최인숙,해당정보 없음,오픈런뮤지컬컴퍼니(제작),2020.06.09
PF121590,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121590,런웨이비트,뮤지컬,뮤지컬,True,2015.01.31(토) ~ 2015.02.08(일),아르코예술극장 대극장,"월요일 ~ 금요일(20:00) / 토요일 ~ 일요일(15:00,19:00)",만 6세 이상,"R석 50,000원 / S석 30,000원","김수민, 고상호, 강지혜, 박혜미, 송형은, 이세나, 최연동 등",,"이희준, 조이 손, 김운기 등",해당정보 없음,달컴퍼니(제작),2020.06.09
PF121593,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121593,호두까기 인형 [용산],뮤지컬,뮤지컬,True,2014.11.15(토) ~ 2015.01.11(일),국립중앙박물관 극장 용,"화요일(11:00) / 수요일 ~ 금요일(11:00,14:00) / 토요일 ~ 일요일(11:00,14:00,17:00)",24개월 이상,"VIP석 50,000원 / S석 40,000원 / A석 30,000원","석재형, 맹주영, 구자승, 이다림, 강은애, 김가현, 김훈 등",,"송승환, 이동운, 이광호 등",해당정보 없음,(주)피엠씨프러덕션(PMC Production)(제작),2020.06.05
PF121614,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121614,"제11회 서울 아시테지 겨울축제, 하트비트",뮤지컬,뮤지컬,True,2015.01.13(화) ~ 2015.01.14(수),대학로예술극장 대극장,"화요일 ~ 수요일(16:00,20:00)",만 10세 이상,"1층석 20,000원 / 2층석 15,000원","김재호, 정지훈, 정도훈, 김나율, 정송이",,"배은욱, 양창영, 김두환 등",해당정보 없음,(사)국제아동청소년연극협회 한국본부(아시테지)(제작),2020.06.09
PF121622,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121622,마당을 나온 암탉,뮤지컬,뮤지컬,True,2015.01.23(금) ~ 2015.03.01(일),대학로예술극장 대극장,"화요일(16:00,20:00) / 수요일(16:00) / 목요일(16:00,20:00) / 금요일(20:00) / 토요일(14:00,18:00) / 일요일(14:00)",만 7세 이상,"R석 70,000원 / S석 50,000원 / A석 35,000원","한혜수, 류수화, 현순철, 나세나, 박철완, 류성훈, 원성준 등",,"황선미, 송인현, 손상원 등",해당정보 없음,(주)극단민들레(제작),2020.06.09
PF121641,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121641,넌센스 잼보리,뮤지컬,뮤지컬,True,2014.11.14(금) ~ 2015.01.04(일),JTN 아트홀(구. 대학로예술마당) 2관,"화요일 ~ 금요일(19:30) / 수요일(16:00) / 금요일(16:00) / 토요일(14:00,18:00) / 일요일(14:00)",만 7세 이상,"전석 40,000원","이진숙, 이보미, 서홍석, 차정훈, 강민혜, 박문영, 박선주 등",,"유한철, 김수경",해당정보 없음,넌센스컴퍼니(제작),2020.06.05
PF121642,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121642,담배가게 아가씨 [소리아트홀 3관],뮤지컬,뮤지컬,True,2014.05.03(토) ~ 2015.03.31(화),소리아트홀 (폐관) 3관,"화요일 ~ 금요일(20:00) / 토요일(16:00,19:00) / 일요일(15:00)",만 13세 이상,"전석 40,000원","박형준, 허정민, 서연우, 이영윤, 김한나, 김수정, 정원식, 임태빈, 정동근, 문정미, 김가현, 황지원, 이호경, 김정호, 김형석, 임하람, 강경석, 김현국, 김양성",,"김재목, 김지환, 지현수, 이현정, 최연호, 박규석, 곽두성",해당정보 없음,극단 담씨(제작),2015.07.20
PF121643,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121643,엄마는 안가르쳐줘,뮤지컬,뮤지컬,True,2014.10.03(금) ~ 2015.03.01(일),미마지아트센터 물빛극장,토요일 ~ 일요일(12:00),36개월 이상,"전석 25,000원",해당정보 없음,,"김나영, 홍경숙, 이호근",해당정보 없음,(주)투비컴퍼니(제작),2020.06.04
PF121646,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121646,가야십이지곡,뮤지컬,뮤지컬,True,2015.01.24(토) ~ 2015.02.01(일),예스24아트원(구.대학로아트원씨어터) 2관,"화요일 ~ 금요일(20:00) / 토요일(16:00,19:00) / 일요일(15:00,18:00)",만 15세 이상,"R석 40,000원 / S석 30,000원","최재림, 고은성, 안은진, 김지강, 나경호, 김정현, 이기현",,"박소정, 채한울, 육지 등",해당정보 없음,창작집단 기능재부(제작),2020.06.09
PF121649,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121649,러브레터,뮤지컬,뮤지컬,True,2014.12.02(화) ~ 2015.02.15(일),동숭아트센터 (폐관) 동숭홀 (폐관),"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00)",만 7세 이상,"R석 80,000원 / S석 70,000원 / A석 60,000원","김지현, 곽선영, 조상웅, 강기둥, 박호산, 윤석원, 유주혜 등",,"윤혜선, 김아람, 변정주 등",해당정보 없음,(주)PAC Korea(피에이씨코리아)(제작),2023.02.21
PF121650,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121650,프리즌,뮤지컬,뮤지컬,True,2014.07.22(화) ~ 2015.02.15(일),올웨이즈 씨어터(구.아티스탄홀),월요일 ~ 금요일(17:00) / 화요일 ~ 금요일(14:00) / 월요일 ~ 토요일(20:00) / 토요일 ~ 일요일(13:30) / 토요일 ~ 일요일(15:30) / 토요일 ~ 일요일(18:00),만 3세 이상,"전석 35,000원","김세중, 한상민, 권신혜, 노의태, 장지희, 박수찬, 최민규 등",,정찬우,해당정보 없음,(주)이수엔터테인먼트(제작),2020.06.03
PF121653,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121653,판타스틱,뮤지컬,뮤지컬,True,2009.04.25(토) ~ 2019.08.31(토),NH아트홀,"월요일 ~ 일요일(17:00,20:00)",36개월 이상,"VIP석 60,000원 / R석 50,000원 / S석 40,000원","백승우, 양대용, 문진태, 김태연, 손힘찬, 박현수, 어하연 등",,해당정보 없음,해당정보 없음,(주)해라(제작),2019.11.08
PF121655,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121655,호두까기 인형 [강북],뮤지컬,뮤지컬,True,2014.12.03(수) ~ 2014.12.28(일),꿈의숲아트센터 퍼포먼스홀,"월요일 ~ 일요일(11:00,14:00)",36개월 이상,"전석 25,000원",해당정보 없음,,해당정보 없음,해당정보 없음,아트컴퍼니 뮤다드(제작),2020.06.08
PF121656,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121656,호두까기 인형 [종로],뮤지컬,뮤지컬,True,2014.10.29(수) ~ 2015.01.04(일),소리아트홀 (폐관) 3관,"화요일 ~ 금요일(14:00) / 토요일 ~ 일요일(11:00,13:00)",24개월 이상,"전석 20,000원",해당정보 없음,,해당정보 없음,해당정보 없음,(주) 소리아트홀(제작),2020.06.05
PF121657,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121657,커다란 방귀,뮤지컬,뮤지컬,True,2015.01.03(토) ~ 2015.01.31(토),씨어터조이 (구. 마당세실극장),"토요일 ~ 일요일(11:00,13:00)",24개월 이상,"전석 25,000원",해당정보 없음,,해당정보 없음,해당정보 없음,(주)팀플레이예술기획(제작),2020.06.09
PF121658,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121658,국화꽃향기,뮤지컬,뮤지컬,True,2014.11.15(토) ~ 2015.01.04(일),충무아트센터 소극장 블루,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(15:00)",만 7세 이상,"전석 40,000원","장덕수, 형곤, 서지유, 유정은, 홍수현, 황정윤, 신준철 등",,"정가람, 신지호, 이성모 등",해당정보 없음,엘에스엠컴퍼니(LSM Company)(제작),2020.06.05
PF121661,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121661,빨래,뮤지컬,뮤지컬,True,2014.09.26(금) ~ 2019.01.06(일),동양예술극장(구. 아트센터K) 1관(네모극장),"수요일(16:00,20:00) / 목요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(16:00)",만 13세 이상,"전석 50,000원","하은설, 김주연, 조상웅, 노희찬, 장이주, 조민정, 강정임 등",,추민주,해당정보 없음,(주)씨에이치수박(제작),2020.06.04
PF121671,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121671,"제11회 서울 아시테지 겨울축제, 날아라 하늘아",뮤지컬,뮤지컬,True,2015.01.16(금) ~ 2015.01.17(토),대학로예술극장 대극장,"금요일(11:00,16:00)",36개월 이상,"1층석 20,000원 / 2층석 15,000원","전지석, 황의진, 최흥일, 위세희, 최신희, 양홍석, 신승환 등",,"김혜순, 장경욱, 손진숙 등",해당정보 없음,(사)국제아동청소년연극협회 한국본부(아시테지)(제작),2020.06.09
PF121675,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121675,FLYING 플라잉 [경기],뮤지컬,뮤지컬,True,2014.12.05(금) ~ 2014.12.26(금),국립과천과학관 어울림홀,"화요일 ~ 일요일(11:00,14:00)",36개월 이상,"전석 40,000원",해당정보 없음,,해당정보 없음,해당정보 없음,(주)서울지앵(제작),2020.06.08
PF121677,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF121677,넌센스,뮤지컬,뮤지컬,True,2014.10.17(금) ~ 2015.01.04(일),한양레퍼토리씨어터,"화요일 ~ 금요일(19:30) / 수요일(16:00) / 금요일(16:00) / 토요일(14:00,18:00) / 일요일(15:00)",만 7세 이상,"전석 40,000원","민시양, 이하린, 윤사봉, 이혜진, 신시온, 인보람, 손의완 등",,"김수경, 민시양",해당정보 없음,넌센스컴퍼니(제작),2020.06.05
