mt20Id,url,title,genre_hint,genre_norm,is_musical,공연기간,공연장소,공연시간,관람연령,티켓가격,출연진,창작자,제작진,주최·주관,기획·제작,최종수정
PF253090,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253090,신데렐라 [천안],뮤지컬,뮤지컬,True,2024.12.21(토) ~ 2024.12.29(일),홈플러스 [천안신방점],"토요일 ~ 일요일(12:00,14:00) / 토요일 ~ 공휴일(12:00,14:00)",전체 관람가,"전석 30,000원",해당정보 없음,,해당정보 없음,키즈원(주최),해당정보 없음,2024.11.07
PF253136,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253136,카포네 밀크,뮤지컬,뮤지컬,True,2024.12.18(수) ~ 2025.03.09(일),예스24아트원(구.대학로아트원씨어터) 1관,"화요일 ~ 금요일(20:00) / 토요일(15:00,19:00) / 일요일(14:00,18:00) / 공휴일(14:00,18:00) / *평일 20:00(월 공연 없음) / 토 15:00, 19:00 / 일요일, 공휴일 14:00, 18:00",만 9세 이상,"R석 77,000원 / S석 55,000원","김재범, 손유동, 유태율, 백기범, 정욱진, 최재응, 김기택 등",,"김지호, 허수현, 이은경 등",(주)아뮤즈엔터테인먼트(주최),(주)아뮤즈엔터테인먼트(제작),2025.07.03
PF253145,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253145,어른동생 [성남],뮤지컬,뮤지컬,True,2024.12.20(금) ~ 2025.02.23(일),바른아트센터 바른아트홀,"금요일(11:00,14:00) / 토요일(11:00,14:00,16:30) / 일요일(11:00,14:00) / 공휴일(11:00,14:00,16:30)",36개월 이상,"전석 40,000원",해당정보 없음,,조선형,(주)DPS컴퍼니(DPS Company)(주관) / 으랏차차스토리(주최),극단 어른동생(제작),2025.01.16
PF253150,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253150,신데룰라 이야기 [수원],뮤지컬,뮤지컬,True,2024.12.07(토) ~ 2024.12.08(일),정조테마공연장,"토요일 ~ 일요일(11:00,15:00) / *주말 11:00, 15:00",만 5세 이상,"전석 20,000원","이경, 강희윤, 최다영, 장준혁, 박세정, 신동화, 홍민아 등",,"김정숙, 권호성, 연분홍",수원시립공연단(주관) / 수원특례시(주최),수원시립공연단(제작),2025.01.02
PF253168,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253168,산타클로스와 브레멘음악대 [서울 강동],뮤지컬,뮤지컬,True,2024.12.21(토) ~ 2024.12.24(화),현대백화점 문화홀 [천호],"토요일 ~ 일요일(11:00,14:00,17:00)",24개월 이상,"전석 30,000원",해당정보 없음,,해당정보 없음,(주)조이컬처(주관) / 문화공작소 조이(주최) / 에스엔씨컴퍼니(주최),해당정보 없음,2024.11.11
PF253169,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253169,우리가 사랑했던 그 날 [고창],뮤지컬,뮤지컬,True,2024.11.14(목) ~ 2024.11.14(목),고창문화의전당 공연장,목요일(19:30),만 7세 이상,"전석 10,000원",해당정보 없음,,해당정보 없음,(재)예술경영지원센터(주최) / 고창문화의전당(주관) / 어드벤쳐 프로젝트(주관),해당정보 없음,2024.12.06
PF253172,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253172,산타와 루돌프 [서울 강동],뮤지컬,뮤지컬,True,2024.12.25(수) ~ 2024.12.25(수),현대백화점 문화홀 [천호],"수요일(11:00,14:00,17:00)",24개월 이상,"전석 30,000원",해당정보 없음,,김시윤,문화공작소 조이(주최) / 에스엔씨컴퍼니(주최) / 조이컬쳐(주관),극단 이후(제작),2024.11.11
PF253182,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253182,러커스: 더 스쿨 [함안],뮤지컬,뮤지컬,True,2024.11.29(금) ~ 2024.11.30(토),함안문화예술회관 대공연장,"금요일(10:30,14:00) / 토요일(15:00)",만 4세 이상,"전석 20,000원","양익환, 김차현, 장군, 이석구, 김민정, 양혜란, 이우복 등",,"임동현, 이준상, 홍건모 등",아라리프로덕션((주)아라리)(주관) / 함안군청(주최) / 함안문화예술회관(주관),아라리프로덕션((주)아라리)(제작),2025.10.24
PF253195,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253195,총만짜장 [대전],뮤지컬,뮤지컬,True,2024.11.14(목) ~ 2024.11.17(일),이음아트홀 [대전],목요일 ~ 금요일(19:30) / 토요일(16:00),전체 관람가,"전석 25,000원","정석희, 홍가영, 엄성현, 유나영, 강연우",,김요섭 등,어썸씨어터 [대전](주최·주관),해당정보 없음,2024.11.08
PF253198,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253198,"영등포아트홀 기획공연, 뮤지컬 갈라 콘서트: Winter's Melody",뮤지컬,뮤지컬,True,2024.12.24(화) ~ 2024.12.24(화),영등포아트홀,화요일(19:30),만 7세 이상,"R석 60,000원 / S석 40,000원 / 투파이브석 50,000원","신영숙, 정기열, 박소연 등",,강상구,(재)영등포문화재단(주최),해당정보 없음,2024.11.14
